Time(s),Position(m),Velocity(m/s)
0,0,15
0.1,1.4969,14.9381
0.2,2.98762,14.8764
0.3,4.47219,14.815
0.4,5.95063,14.7539
0.5,7.42297,14.693
0.6,8.88923,14.6324
0.7,10.3494,14.572
0.8,11.8036,14.5118
0.9,13.2518,14.452
1,14.694,14.3923
1.1,16.1303,14.3329
1.2,17.5606,14.2738
1.3,18.985,14.2149
1.4,20.4036,14.1562
1.5,21.8163,14.0978
1.6,23.2231,14.0396
1.7,24.6242,13.9816
1.8,26.0195,13.9239
1.9,27.409,13.8665
2,28.7928,13.8092
2.1,30.1708,13.7523
2.2,31.5432,13.6955
2.3,32.9099,13.639
2.4,34.271,13.5827
2.5,35.6265,13.5266
2.6,36.9763,13.4708
2.7,38.3206,13.4152
2.8,39.6594,13.3598
2.9,40.9926,13.3047
3,42.3203,13.2498
3.1,43.6426,13.1951
3.2,44.9593,13.1407
3.3,46.2707,13.0864
3.4,47.5766,13.0324
3.5,48.8772,12.9786
3.6,50.1724,12.9251
3.7,51.4622,12.8717
3.8,52.7467,12.8186
3.9,54.0259,12.7657
4,55.2998,12.713
4.1,56.5685,12.6606
4.2,57.832,12.6083
4.3,59.0902,12.5563
4.4,60.3432,12.5045
4.5,61.5911,12.4528
4.6,62.8338,12.4015
4.7,64.0714,12.3503
4.8,65.3038,12.2993
4.9,66.5312,12.2485
5,67.7535,12.198
5.1,68.9708,12.1476
5.2,70.1831,12.0975
5.3,71.3903,12.0476
5.4,72.5926,11.9979
5.5,73.7899,11.9484
5.6,74.9823,11.899
5.7,76.1697,11.8499
5.8,77.3522,11.801
5.9,78.5299,11.7523
6,79.7027,11.7038
6.1,80.8707,11.6555
6.2,82.0338,11.6074
6.3,83.1921,11.5595
6.4,84.3457,11.5118
6.5,85.4945,11.4643
6.6,86.6386,11.417
6.7,87.7779,11.3699
6.8,88.9125,11.3229
6.9,90.0425,11.2762
7,91.1678,11.2297
7.1,92.2884,11.1833
7.2,93.4044,11.1372
7.3,94.5159,11.0912
7.4,95.6227,11.0454
7.5,96.7249,10.9998
7.6,97.8227,10.9545
7.7,98.9158,10.9092
7.8,100.005,10.8642
7.9,101.089,10.8194
8,102.168,10.7747
8.1,103.244,10.7303
8.2,104.314,10.686
8.3,105.381,10.6419
8.4,106.443,10.598
8.5,107.5,10.5542
8.6,108.554,10.5107
8.7,109.603,10.4673
8.8,110.647,10.4241
8.9,111.687,10.3811
9,112.723,10.3382
9.1,113.755,10.2956
9.2,114.782,10.2531
9.3,115.806,10.2108
9.4,116.825,10.1686
9.5,117.839,10.1266
9.6,118.85,10.0849
9.7,119.856,10.0432
9.8,120.859,10.0018
9.9,121.857,9.9605
10,122.851,9.9194
10.1,123.841,9.87846
10.2,124.826,9.83769
10.3,125.808,9.79709
10.4,126.786,9.75666
10.5,127.759,9.71639
10.6,128.729,9.67629
10.7,129.695,9.63636
10.8,130.656,9.59659
10.9,131.614,9.55698
11,132.568,9.51754
11.1,133.518,9.47826
11.2,134.463,9.43914
11.3,135.405,9.40019
11.4,136.343,9.36139
11.5,137.278,9.32276
11.6,138.208,9.28428
11.7,139.134,9.24596
11.8,140.057,9.20781
11.9,140.976,9.1698
12,141.891,9.13196
12.1,142.802,9.09427
12.2,143.71,9.05674
12.3,144.614,9.01936
12.4,145.514,8.98214
12.5,146.41,8.94507
12.6,147.303,8.90815
12.7,148.192,8.87139
12.8,149.077,8.83478
12.9,149.959,8.79831
13,150.837,8.762
13.1,151.711,8.72584
13.2,152.582,8.68983
13.3,153.449,8.65397
13.4,154.313,8.61825
13.5,155.173,8.58268
13.6,156.029,8.54726
13.7,156.882,8.51199
13.8,157.732,8.47686
13.9,158.578,8.44187
14,159.42,8.40703
14.1,160.259,8.37234
14.2,161.095,8.33779
14.3,161.927,8.30338
14.4,162.755,8.26911
14.5,163.58,8.23498
14.6,164.402,8.20099
14.7,165.221,8.16715
14.8,166.036,8.13344
14.9,166.847,8.09987
15,167.656,8.06645
15.1,168.461,8.03316
15.2,169.262,8
15.3,170.061,7.96699
15.4,170.856,7.93411
15.5,171.647,7.90136
15.6,172.436,7.86875
15.7,173.221,7.83628
15.8,174.003,7.80394
15.9,174.782,7.77173
16,175.558,7.73966
16.1,176.33,7.70771
16.2,177.099,7.6759
16.3,177.865,7.64422
16.4,178.628,7.61268
16.5,179.388,7.58126
16.6,180.144,7.54997
16.7,180.898,7.51881
16.8,181.648,7.48778
16.9,182.395,7.45688
17,183.139,7.4261
17.1,183.88,7.39546
17.2,184.618,7.36493
17.3,185.353,7.33454
17.4,186.085,7.30427
17.5,186.814,7.27412
17.6,187.54,7.2441
17.7,188.263,7.21421
17.8,188.983,7.18443
17.9,189.7,7.15478
18,190.414,7.12526
18.1,191.125,7.09585
18.2,191.833,7.06656
18.3,192.538,7.0374
18.4,193.241,7.00836
18.5,193.94,6.97943
18.6,194.636,6.95063
18.7,195.33,6.92194
18.8,196.021,6.89338
18.9,196.709,6.86493
19,197.394,6.83659
19.1,198.076,6.80838
19.2,198.755,6.78028
19.3,199.432,6.7523
19.4,200.106,6.72443
19.5,200.777,6.69668
19.6,201.445,6.66904
19.7,202.111,6.64152
19.8,202.774,6.61411
19.9,203.434,6.58681
20,204.091,6.55963
20.1,204.746,6.53256
20.2,205.397,6.5056
20.3,206.047,6.47875
20.4,206.693,6.45201
20.5,207.337,6.42538
20.6,207.978,6.39886
20.7,208.617,6.37246
20.8,209.253,6.34616
20.9,209.886,6.31997
21,210.517,6.29388
21.1,211.145,6.26791
21.2,211.77,6.24204
21.3,212.393,6.21628
21.4,213.014,6.19062
21.5,213.631,6.16507
21.6,214.247,6.13963
21.7,214.859,6.11429
21.8,215.469,6.08906
21.9,216.077,6.06393
22,216.682,6.0389
22.1,217.285,6.01398
22.2,217.885,5.98916
22.3,218.483,5.96444
22.4,219.078,5.93983
22.5,219.671,5.91531
22.6,220.261,5.8909
22.7,220.849,5.86659
22.8,221.434,5.84238
22.9,222.017,5.81826
23,222.598,5.79425
23.1,223.176,5.77034
23.2,223.752,5.74652
23.3,224.326,5.72281
23.4,224.897,5.69919
23.5,225.465,5.67567
23.6,226.032,5.65225
23.7,226.596,5.62892
23.8,227.158,5.60569
23.9,227.717,5.58255
24,228.274,5.55951
24.1,228.829,5.53657
24.2,229.381,5.51372
24.3,229.932,5.49096
24.4,230.48,5.4683
24.5,231.025,5.44574
24.6,231.569,5.42326
24.7,232.11,5.40088
24.8,232.649,5.37859
24.9,233.186,5.35639
25,233.72,5.33428
25.1,234.252,5.31227
25.2,234.783,5.29035
25.3,235.311,5.26851
25.4,235.836,5.24677
25.5,236.36,5.22512
25.6,236.881,5.20355
25.7,237.401,5.18208
25.8,237.918,5.16069
25.9,238.433,5.13939
26,238.946,5.11818
26.1,239.456,5.09706
26.2,239.965,5.07602
26.3,240.472,5.05507
26.4,240.976,5.03421
26.5,241.478,5.01343
26.6,241.979,4.99274
26.7,242.477,4.97214
26.8,242.973,4.95162
26.9,243.467,4.93118
27,243.959,4.91083
27.1,244.449,4.89056
27.2,244.938,4.87038
27.3,245.424,4.85028
27.4,245.908,4.83026
27.5,246.39,4.81033
27.6,246.87,4.79048
27.7,247.348,4.77071
27.8,247.824,4.75102
27.9,248.298,4.73141
28,248.77,4.71188
28.1,249.24,4.69244
28.2,249.709,4.67307
28.3,250.175,4.65378
28.4,250.639,4.63458
28.5,251.102,4.61545
28.6,251.562,4.5964
28.7,252.021,4.57743
28.8,252.478,4.55854
28.9,252.933,4.53973
29,253.386,4.52099
29.1,253.837,4.50233
29.2,254.286,4.48375
29.3,254.734,4.46525
29.4,255.179,4.44682
29.5,255.623,4.42847
29.6,256.065,4.41019
29.7,256.505,4.39199
29.8,256.943,4.37386
29.9,257.38,4.35581
30,257.815,4.33784
30.1,258.247,4.31993
30.2,258.679,4.30211
30.3,259.108,4.28435
30.4,259.535,4.26667
30.5,259.961,4.24906
30.6,260.385,4.23152
30.7,260.808,4.21406
30.8,261.228,4.19667
30.9,261.647,4.17935
31,262.064,4.1621
31.1,262.479,4.14492
31.2,262.893,4.12782
31.3,263.305,4.11078
31.4,263.715,4.09382
31.5,264.124,4.07692
31.6,264.53,4.0601
31.7,264.936,4.04334
31.8,265.339,4.02665
31.9,265.741,4.01003
32,266.141,3.99348
32.1,266.54,3.977
32.2,266.937,3.96059
32.3,267.332,3.94424
32.4,267.725,3.92797
32.5,268.117,3.91176
32.6,268.508,3.89561
32.7,268.897,3.87953
32.8,269.284,3.86352
32.9,269.669,3.84758
33,270.053,3.8317
33.1,270.436,3.81589
